SAMPLE	MAR3D7_pEC50	Canonical_Smiles
SJ000550952-1	ND	COc1cc(ccc1OCc2ccccc2)C3CC(=O)NC4=C3C(=O)CCC4
SJ000550963-1	4.8234742291703	COc1cc(C2CC(=O)NC3=C2C(=O)CC(C3)c4ccc(F)cc4)c(OC)cc1Br
SJ000551293-1	6.93325127556378	Cc1nn(C)c(C(=O)NNC(=O)Nc2ccc(cc2)[N+](=O)[O-])c1Cl
SJ000551345-1	ND	Cc1ccc(NC(=O)c2c(Br)cnn2C)c(c1)[N+](=O)[O-]
SJ000551291-1	ND	Cn1ncc(c1C(=O)Nc2cc(Cl)ccc2Cl)[N+](=O)[O-]
SJ000551344-1	4.8234742291703	CCn1ncc(Cl)c1C(=O)Nc2ccc(C)c(c2)[N+](=O)[O-]
SJ000551307-1	ND	CCOc1ccc(NC(=O)c2c(cnn2C)[N+](=O)[O-])cc1
SJ000551325-1	ND	COC(=O)c1cc(OC)c(OC)cc1NC(=O)c2nn(C)cc2I
SJ000551328-1	ND	Cn1ncc(c1C(=O)Nc2ccc(cc2)C(=O)O)[N+](=O)[O-]
SJ000551327-1	ND	Cn1cc(c(n1)C(=O)Nc2ccc(Cl)cc2Cl)[N+](=O)[O-]
SJ000551287-1	ND	Cn1ncc(Br)c1C(=O)N\N=C\c2ccc(Cl)c(c2)[N+](=O)[O-]
SJ000551308-1	ND	Oc1ccc(\C=N\NC(=O)c2[nH]ncc2I)cc1[N+](=O)[O-]
SJ000551290-1	ND	Cn1ncc(Cl)c1C(=O)N\N=C\c2cccc(c2)[N+](=O)[O-]
SJ000551294-1	ND	CCOC(=O)c1ccc(NC(=O)c2c(I)cnn2C)cc1
SJ000551354-1	ND	Cc1ccc(NC(=O)c2c(Cl)cnn2C)nc1
SJ000550974-1	ND	OCC1(Cc2ccccc2Cl)CCN(CC1)S(=O)(=O)c3ccccc3C(F)(F)F
SJ000551351-1	ND	Cc1nn(C)c(C)c1NC(=O)c2c(cnn2C)[N+](=O)[O-]
SJ000551014-1	4.8234742291703	COc1ccc(cc1)S(=O)(=O)N2CCC(CO)(Cc3ccccc3C(F)(F)F)CC2
SJ000551012-1	4.8234742291703	COc1ccc(C)cc1S(=O)(=O)N2CCC(CO)(Cc3cccc(c3)C(F)(F)F)CC2
SJ000551314-1	ND	COc1ccc(NC(=O)c2c(I)cnn2C)cc1
SJ000551292-1	ND	Cc1nn(C)c(C(=O)NNC(=O)Nc2cccc(c2)[N+](=O)[O-])c1Br
SJ000551124-1	4.8234742291703	CC(C)(C)C(=O)N1CCN(CC1)C(c2ccccc2)c3ccccc3
SJ000551054-1	ND	[O-][N+](=O)c1ccc(cc1NCc2ccccc2)N3CCN(CC3)C(=O)c4ccccc4
SJ000551104-1	ND	COc1cc(C2CC(=O)NC3=C2C(=O)CC(C3)c4ccc(C)cc4)c(OC)cc1Br
SJ000551033-1	ND	[O-][N+](=O)c1ccc(cc1NC2CC2)N3CCN(CC3)C(=O)\C=C\c4ccccc4
SJ000551126-1	ND	COc1ccccc1N2CCN(CC2)C(=O)C3CC3
SJ000551046-1	ND	Clc1cccc(c1)N2CCN(CC2)C(=O)C3CC3
SJ000551027-1	ND	CC(CCc1ccccc1)Nc2cc(ccc2[N+](=O)[O-])N3CCN(CC3)C(=O)c4ccccc4F
SJ000551034-1	ND	CC(C)(C)c1ccc(OCC(=O)N2CCN(CC2)c3ccc(c(NC4CC4)c3)[N+](=O)[O-])cc1
SJ000550961-1	ND	COC(=O)C1C(C)CC2=C(C(CC(=O)N2)c3cc(Br)c(O)c(OC)c3)C1=O
SJ000550923-1	4.8234742291703	CCOC(=O)C1=C(C)NC2=C(C1c3cc(Cl)c(O)c(OC)c3)C(=O)CC(C2)c4ccccc4
SJ000550940-1	6.70586578366255	CCOc1ccc(cc1)c2nonc2NC(=O)c3occc3
SJ000550950-1	5.69844450924813	COc1ccc(cc1OC)C2CC(=O)C3=C(C2)NC(=O)CC3c4ccc(Cl)cc4Cl
SJ000550949-1	ND	COc1ccc(cc1OC)C2CC(=O)C3=C(C2)NC(=O)CC3c4ccccc4
SJ000550927-1	ND	Cc1cc(C)nc(n1)n2nc(C)c(Cc3ccccc3C)c2O
SJ000551004-1	ND	Cc1cc(C)nc(n1)n2nc(cc2O)c3ccc(F)cc3
SJ000550982-1	ND	CCCn1nnnc1NC(=O)c2cc(Br)ccc2OC
SJ000550942-1	ND	CCOc1ccc(cc1)c2nonc2NC(=O)c3ccccc3
SJ000551337-1	ND	COc1cc(CNC(=O)c2ccc(Cl)cc2)cc(OC)c1OC
SJ000550933-1	ND	Cc1ccc(cc1)c2cc(O)n(n2)c3nc(C)cc(C)n3
SJ000550973-1	ND	COc1cc(CNn2nnnc2N)ccc1OCc3c(Cl)cccc3Cl
SJ000550994-1	ND	Cc1cc(C)nc(n1)n2nc(C)c(Cc3ccccc3Cl)c2O
SJ000550972-1	ND	CCOc1cc(CNc2nnnn2C)cc(Br)c1OCc3ccccc3Cl
SJ000550971-1	4.8234742291703	CCCn1nnnc1NCc2cc(Br)c(OCc3ccccc3)c(OC)c2
SJ000551007-1	ND	Cc1cc(Nc2cccc(c2)C(F)(F)F)nc(n1)n3nc(C)cc3C
SJ000551021-1	ND	COC(=O)\C=C/1\N=C(Nc2nc(C)cc(C)n2)N(C1=O)c3cccc(c3)C(F)(F)F
SJ000550944-1	ND	COc1ccc(cc1)N2C(=S)NN=C2CCNC(=O)c3ccc(Cl)cc3Cl
SJ000551329-1	ND	CCCNC(=O)NCc1ccc(OC)c(OC)c1
SJ000550943-1	ND	COc1ccc(cc1)n2c(Cc3ccccc3)nnc2SCC(=O)Nc4ccc(Cl)cc4Cl
SJ000342064-2	ND	Cc1cccc(C)c1NC(=O)c2nnn(c2N)c3cccc(c3)C(F)(F)F
SJ000550996-1	ND	Cc1cc(NC(=O)NC(=O)c2c(Cl)cccc2Cl)n(n1)c3cccc(F)c3
SJ000550946-1	4.8234742291703	Fc1ccc(cc1)C2CC(=O)C3=C(C2)NC(=O)CC3c4c(F)cccc4Cl
SJ000551053-1	6.17982868992531	CC(Nc1cc(ccc1[N+](=O)[O-])N2CCN(CC2)C(=O)c3ccccc3)c4ccccc4
SJ000551127-1	ND	CC(C)(C)C(=O)N1CCC(CC1)C(=O)N2CCN(CC2)c3ccccc3
SJ000551129-1	ND	COc1ccc(cc1)N2CCN(CC2)C(=O)C(C)(C)C
SJ000551049-1	ND	CC(C)(C)C(=O)N1CCN(CC1)c2ccc(c(c2)N3CCOCC3)[N+](=O)[O-]
SJ000551128-1	ND	Cc1ccc(Cl)cc1N2CCN(CC2)C(=O)C(C)(C)C
SJ000551031-1	4.8234742291703	[O-][N+](=O)c1ccc(cc1NC2CC2)N3CCN(CC3)C(=O)Cc4ccccc4
SJ000551130-1	ND	CC(C)(C)C(=O)N1CCN(CC1)c2ccc(Cl)c(Cl)c2
SJ000551043-1	ND	CC(C)(C)C(=O)Nc1ccc(cc1)N2CCN(CC2)C(=O)C(C)(C)C
SJ000551044-1	ND	CC(C)(C)C(=O)N1CCN(CC1)c2ccc(N)cc2Cl
SJ000551122-1	ND	CC(C)(Oc1ccc(Cl)cc1)C(=O)N2CCN(CC2)c3cccc(Cl)c3
SJ000551047-1	ND	CC(C)(C)C(=O)N1CCN(CC1)c2ccc(N)cc2
SJ000551051-1	ND	CC(C)(C)C(=O)N1CCN(CC1)c2ccc(c(NCc3occc3)c2)[N+](=O)[O-]
SJ000551045-1	ND	CCC(=O)Nc1ccc(cc1)N2CCN(CC2)C(=O)C(C)(C)C
SJ000551032-1	ND	CC(C)(C)c1ccc(cc1)C(=O)N2CCN(CC2)c3ccc(c(NCCc4ccccc4)c3)[N+](=O)[O-]
SJ000551048-1	ND	CC(C)(C)C(=O)N1CCN(CC1)c2cccc(Cl)c2
SJ000551123-1	ND	COc1ccc(cc1)N2CCN(CC2)C(=O)c3ccc(cc3)C(C)(C)C
SJ000551035-1	ND	CC(C)(C)C(=O)N1CCN(CC1)c2ccc(c(NCC=C)c2)[N+](=O)[O-]
SJ000551052-1	ND	[O-][N+](=O)c1ccc(cc1NC2CC2)N3CCN(Cc4ccccc4)CC3
SJ000551029-1	ND	CCNc1cc(ccc1[N+](=O)[O-])N2CCN(CC2)C(=O)C(C)C
SJ000551036-1	4.8234742291703	[O-][N+](=O)c1ccc(cc1NC2CC2)N3CCN(CC3)C(=O)c4ccccc4
SJ000551020-1	ND	Cc1cc(C)nc(n1)n2nc(C)c(C#N)c2NC(=O)CCc3ccccc3
SJ000484717-2	ND	CCOC(=O)CCc1c(C)nn(c1O)c2nc(C)cc(C)n2
SJ000550999-1	ND	CCOC(=O)c1c(C)nn(c1N)c2nc(C)cc(C)n2
SJ000551077-1	ND	CC(CNCc1ccc(cc1)C(=O)O)c2ccccc2
SJ000550926-1	ND	CCc1c(C)nn(c1OC(=O)c2ccccc2)c3nc(C)cc(C)n3
SJ000551042-1	ND	CCN(CC)CC(O)COc1cc(CNC2CCCC2)ccc1OC
SJ000550937-1	ND	CCOc1ccccc1c2onc(n2)c3nonc3N
SJ000551041-1	4.8234742291703	COc1ccc(CNC2CCCCC2)cc1OCC(O)CN(C)Cc3ccccc3
SJ000550921-1	ND	COc1cc(cc(OC)c1OC)c2onc(n2)c3nonc3N
SJ000550941-1	ND	CCOc1ccc(cc1)c2nonc2NC(=O)COc3ccccc3
SJ000551083-1	ND	OC(CNCc1ccc(cc1)C(=O)O)c2ccccc2
SJ000550932-1	ND	Cc1cc(C)nc(n1)n2ncc(C#N)c2NC(=O)c3ccc(Cl)cc3Cl
SJ000551085-1	ND	COc1ccccc1OCC(O)CNC2CCCC2
SJ000551094-1	ND	Clc1ccc(NC(=O)CSc2nccn2Cc3ccccc3)cc1
SJ000551038-1	4.8234742291703	OC(CNC1CCCC1)COc2ccccc2c3ccccc3
SJ000551384-1	ND	CCn1c(SCC(=O)Nc2cc(ccc2Cl)C(F)(F)F)nnc1c3ccc(OC)cc3
SJ000551081-1	4.8234742291703	OC(CNCc1ccc(cc1)c2ccccc2)c3ccccc3
SJ000551120-1	ND	CCn1c(SCC(=O)Nc2cc(ccc2Cl)C(F)(F)F)nnc1c3ccc(C)cc3
SJ000551089-1	4.8234742291703	Cc1ccccc1OCC(O)CNC2CCCCC2
SJ000551110-1	ND	CC(=O)Nc1ccc(NC(=O)CSc2nccn2Cc3ccccc3)cc1
SJ000551080-1	4.8234742291703	OC(CNCc1cccc(Cl)c1)c2ccccc2
SJ000551097-1	ND	COc1ccc(cc1)c2nnc(SCC(=O)Nc3cccc(c3)C(F)(F)F)n2CC=C
SJ000551079-1	4.8234742291703	COc1cccc(CNCC(O)c2ccccc2)c1
SJ000551100-1	ND	Cc1cc(C)c(NC(=O)CSc2nccn2C)c(C)c1
SJ000550612-1	6.38686200117708	CN(C)c1ccc(NC(=O)\C=C\c2cccc(Cl)c2)cc1
SJ000550611-1	5.36432360749016	CCc1cccc(NC(=O)\C=C\c2ccccc2Cl)c1
SJ000550529-1	ND	COc1ccc(O)c(c1)C2NCCc3cc(OC)c(OC)cc23
SJ000550625-1	4.8234742291703	CC(C)c1ccc(\C=C\C(=O)Nc2cccc(F)c2)cc1
SJ000550532-1	ND	COc1cc2CCNC(c2cc1OC)c3cc(OC)c(OC)cc3OC
SJ000550533-1	ND	COc1cc(cc(OC)c1O)C2NCCc3cc(OC)c(OC)cc23
SJ000550535-1	ND	COc1cc2CCNC(c3cccc(O)c3)c2cc1OC
SJ000550609-1	ND	CN(C)c1ccc(NC(=O)CCc2ccccc2)cc1
SJ000550536-1	ND	COc1ccc(OC)c(c1)C2NCCc3cc(OC)c(OC)cc23
SJ000550510-1	ND	COc1ccc(cc1OC)C2NCCc3cc(OC)c(OC)cc23
SJ000550585-1	4.8234742291703	Cc1cccc(NC(=O)\C=C\c2ccccc2Cl)c1
SJ000550527-1	ND	COc1cc(OC)cc(c1)C2NCCc3cc(OC)c(OC)cc23
SJ000550587-1	5.2596731587116	COC(=O)c1ccc(NC(=O)\C=C\c2ccccc2Cl)cc1
SJ000550530-1	ND	COc1cccc(C2NCCc3cc(OC)c(OC)cc23)c1O
SJ000327716-2	4.99389550870886	CN(C)c1ccc(NC(=O)\C=C\c2ccccc2Cl)cc1
SJ000550534-1	ND	COc1ccc(cc1O)C2NCCc3cc(OC)c(OC)cc23
SJ000332466-2	ND	Clc1ccc(NC(=O)CCc2ccccc2)cc1
SJ000550538-1	ND	COc1cc2CCNC(c3ccc(Cl)cc3Cl)c2cc1OC
SJ000550539-1	ND	COc1cc2CCNC(c3cc(OC)c(OC)c(OC)c3)c2cc1OC
SJ000550620-1	5.45988893954473	Cc1ccc(NC(=O)\C=C\c2ccccc2Cl)cc1
SJ000341771-2	ND	CC(C)c1ccc(CCC(=O)Nc2cccnc2)cc1
SJ000550589-1	6.68911416192056	CCc1ccc(NC(=O)\C=C\c2ccccc2Cl)cc1
SJ000550621-1	4.8234742291703	CCOC(=O)c1ccc(NC(=O)\C=C\c2ccccc2Cl)cc1
SJ000550435-1	4.8234742291703	Cc1cccc2c(cc(nc12)c3cccnc3)C(=O)N4CCN(C\C=C\c5ccccc5)CC4
SJ000550610-1	5.20619356038606	CC(C)c1ccc(\C=C\C(=O)Nc2ccc(F)cc2)cc1
SJ000550403-1	ND	Cc1ccc2nc(cc(C(=O)N3CCN(Cc4ccccc4)CC3)c2c1)c5ccncc5
SJ000551413-1	5.15521911525037	CC(C)c1ccc(NC(=O)\C=C\c2ccccc2)cc1
SJ000550420-1	5.70877565424503	Cc1ccc2nc(cc(C(=O)N3CCN(CC3)C(c4ccccc4)c5ccccc5)c2c1)c6cccnc6
SJ000550623-1	ND	COc1ccc(NC(=O)\C=C\c2ccc(cc2)C(C)C)cc1
SJ000550423-1	4.8234742291703	COc1ccccc1c2cc(C(=O)N3CCC(Cc4ccccc4)CC3)c5ccccc5n2
SJ000550624-1	4.8234742291703	CC(C)c1ccc(NC(=O)\C=C\c2ccc(cc2)C(C)C)cc1
SJ000331677-2	ND	CC(C)c1ccc(\C=C\C(=O)Nc2ccc(Cl)c(Cl)c2)cc1
SJ000550607-1	ND	COc1ccccc1c2cc(C(=O)NCCN3CCOCC3)c4ccccc4n2
SJ000550627-1	ND	CCc1ccccc1NC(=O)\C=C\c2ccc(cc2)C(C)C
SJ000550573-1	ND	Cc1ccc(cc1)c2nc3ccccc3c(C(=O)NCCN4CCOCC4)c2C
SJ000550628-1	ND	CC(C)c1ccc(\C=C\C(=O)Nc2ccccc2Cl)cc1
SJ000550606-1	ND	Clc1ccccc1c2cc(C(=O)NCCN3CCOCC3)c4ccccc4n2
SJ000550629-1	4.8234742291703	CC(C)c1ccc(\C=C\C(=O)Nc2cccc(Cl)c2)cc1
SJ000313563-2	ND	CC(=O)c1ccc(NC(=O)\C=C\c2ccccc2Cl)cc1
SJ000550605-1	ND	Cc1cccc(c1)c2cc(C(=O)NCCCN3CCOCC3)c4ccccc4n2
SJ000550582-1	ND	O=C(N1CCN(C\C=C\c2ccccc2)CC1)c3cc(nc4ccccc34)c5ccccc5
SJ000550586-1	ND	CC(=O)c1cccc(NC(=O)\C=C\c2ccccc2Cl)c1
SJ000550584-1	ND	COc1ccc(cc1)c2nc3ccccc3c(C(=O)NCCN4CCOCC4)c2C
SJ000327715-2	ND	CCc1ccccc1NC(=O)\C=C\c2ccccc2Cl
SJ000550588-1	6.341499691998	CCOc1ccc(NC(=O)\C=C\c2ccccc2Cl)cc1
SJ000550576-1	ND	O=C(NCCN1CCOCC1)c2cc(nc3ccccc23)c4ccccc4
SJ000550960-1	4.8234742291703	COc1ccc(OC)c(c1)C2CC(=O)NC3=C2C(=O)CC(C3)c4ccc(OC)c(OC)c4
SJ000550989-1	6.32325618519305	CCCCn1nnnc1NCc2ccc(OC)c(OC)c2OC
SJ000550947-1	ND	COc1ccc(OC)c(c1)C2CC(=O)NC3=C2C(=O)CC(C3)c4ccc(F)cc4
SJ000550962-1	6.86455628365283	COc1ccc(cc1OC)C2CC3=C(C(CC(=O)N3)c4cc(OC)c(Br)cc4OC)C(=O)C2
SJ000550965-1	ND	COc1cc(OC)c(OC)cc1CNc2nnnn2C
SJ000550968-1	ND	COc1cc(CNc2nnnn2C)ccc1OCc3ccc(F)cc3Cl
SJ000550964-1	ND	COc1ccc(cc1OC)C2CC(=O)C3=C(C2)NC(=O)CC3c4c(F)cccc4Cl
SJ000551332-1	ND	COc1cc(CNC(=O)Nc2ccccc2)cc(OC)c1OC
SJ000551338-1	4.8234742291703	COc1cc(CNc2nnnn2CC=C)cc(Cl)c1OC
SJ000338440-2	ND	COc1ccc(Br)cc1CNc2nnnn2CC=C
SJ000550993-1	ND	CCOc1cccc(CNc2nnnn2C)c1OCc3ccccc3
SJ000550991-1	ND	COc1cc(OC)c(OC)cc1CNc2nnnn2CC=C
SJ000550992-1	ND	COc1c(Cl)cc(Cl)cc1CNc2nnnn2C
SJ000550990-1	ND	CCOc1c(CNc2nnnn2CC=C)cccc1OC
SJ000551336-1	ND	CCNC(=O)c1cc(Br)c(OC)c(OC)c1
SJ000550983-1	ND	COc1cc(CNc2nnnn2C)ccc1OCc3ccc(Cl)cc3
SJ000337426-2	ND	CCCn1nnnc1NCc2ccc(Cl)cc2Cl
SJ000551334-1	ND	COc1cc(CNC(C)C)cc(Br)c1OCC(=O)N
SJ000550980-1	ND	CCCn1nnnc1NCc2ccccc2OCc3ccc(F)cc3
SJ000551330-1	ND	COc1cc(CNC(=O)Nc2ccc(C)c(F)c2)cc(OC)c1OC
SJ000550979-1	ND	CCCn1nnnc1NCc2ccc(OCc3cccs3)c(OC)c2
SJ000550966-1	4.8234742291703	COc1cc(CNn2nnnc2N)cc(Cl)c1OC
SJ000550969-1	ND	CCCn1nnnc1NCc2ccc(OCc3ccc(Cl)cc3Cl)cc2
SJ000551339-1	ND	CCCCn1nnnc1NCc2ccc(cc2)N3CCCC3
SJ000551256-1	ND	CC(NC(=O)C1CC1c2ccccc2)c3ccccc3
SJ000551260-1	ND	CC1(C)CC1C(=O)Nc2ccc(cc2Br)[N+](=O)[O-]
SJ000551235-1	ND	COCCN(CC1CCCN(C1)C2Cc3ccccc3C2)C(=O)c4cc5ncccn5n4
SJ000551220-1	ND	COc1ccc(NC2CCCN(C2)C(=O)c3cc4ncccn4n3)cc1
SJ000551241-1	ND	O=C(N1CCOCC1)c2cc3nccc(c4ccc5ccccc5c4)n3n2
SJ000551242-1	ND	CCOC(=O)c1c(C)nc2cc(nn2c1C)C(=O)N3CCOCC3
SJ000551270-1	ND	FC(F)(F)C1CC(Nc2c(Cl)c(nn12)C(=O)N3CCN(CC3)c4ccccc4)c5ccc(Cl)cc5
SJ000551243-1	ND	ClCCc1cnc2cc(nn2c1)C(=O)N3CCCCCC3
SJ000551274-1	4.8234742291703	Cc1ccc(cc1)C2CC(n3nc(cc3N2)C(=O)N(Cc4ccccc4)Cc5ccccc5)C(F)(F)F
SJ000551224-1	ND	Fc1ccc(Cn2cc(NC(=O)c3cc4NC(CC(n4n3)C(F)(F)F)c5ccccc5)cn2)cc1
SJ000551227-1	4.8234742291703	Oc1ccc(Cl)cc1NC(=O)c2cnn3C(CC(Nc23)c4ccc(Br)cc4)C(F)(F)F
SJ000551225-1	ND	FC(F)(F)C1CC(Nc2cc(nn12)C(=O)Nc3cnn(Cc4ccc(Cl)cc4Cl)c3)c5ccccc5
SJ000551131-1	ND	O=C(Nc1ccc(cc1)C(=O)N2CCOCC2)c3ccc4C(=O)N5CCCCCC5=Nc4c3
SJ000551226-1	ND	FC(F)(F)C1CC(Nc2cc(nn12)C(=O)NCCc3ccccc3)c4ccc(Cl)c(Cl)c4
SJ000550547-1	ND	CCC(NC(=O)c1ccc2C(=O)N3CCCCCC3=Nc2c1)c4ccc(C)cc4
SJ000550553-1	ND	Fc1ccc(NC(=O)c2ccc3C(=O)N4CCCCCC4=Nc3c2)cc1F
SJ000550548-1	4.8234742291703	O=C(NC1C2CC3CC(CC1C3)C2)c4ccc5C(=O)N6CCCCCC6=Nc5c4
SJ000551296-1	6.27920392475278	Cc1cc(C)c(C)c(Oc2cc(NC(=O)c3c(I)cnn3C)cc(c2)[N+](=O)[O-])c1
SJ000551341-1	ND	Cc1cccc(Oc2cc(NC(=O)c3c(I)cnn3C)cc(c2)[N+](=O)[O-])c1
SJ000551340-1	ND	Cn1ncc(I)c1C(=O)Nc2cc(Oc3ccc(Cl)cc3)cc(c2)[N+](=O)[O-]
SJ000551305-1	ND	Cc1cc(C)cc(Oc2cc(NC(=O)c3c(I)cnn3C)cc(c2)[N+](=O)[O-])c1
SJ000551295-1	ND	Cc1nn(C)c(C(=O)Nc2cc(Oc3ccc(Cl)cc3)cc(c2)[N+](=O)[O-])c1Br
SJ000551347-1	ND	Cn1ncc(Br)c1C(=O)Nc2ccccc2[N+](=O)[O-]
SJ000551352-1	ND	CN(C)c1nc(N)nc(Cn2nc(cc2C)[N+](=O)[O-])n1
SJ000551300-1	ND	CCOc1ccc(NC(=O)c2c(Br)cnn2CC)c(c1)[N+](=O)[O-]
SJ000551286-1	ND	Cn1ncc(c1C(=O)Nc2ccc(Cl)c(Cl)c2)[N+](=O)[O-]
SJ000551342-1	ND	COc1ccc(cc1NC(=O)c2c(Cl)c(C)nn2C)[N+](=O)[O-]
SJ000551313-1	ND	Cn1ncc(I)c1C(=O)Nc2ccc(F)cc2
SJ000551310-1	ND	CCn1nccc1C(=O)Nc2ccc(cc2OC)[N+](=O)[O-]
SJ000551317-1	ND	Cc1ccc(C)c(NC(=O)c2c(Cl)cnn2C)c1
SJ000551323-1	ND	[O-][N+](=O)c1cc(NC(=O)c2[nH]ncc2Cl)ccc1F
SJ000551349-1	ND	Cc1ccc(NC(=O)c2nn(C)cc2I)cc1[N+](=O)[O-]
SJ000551285-1	ND	Cc1nn(C)c(C(=O)Nc2ccc(cc2)C(=O)O)c1Br
SJ000551298-1	ND	COc1ccc(Oc2cc(NC(=O)c3c(Br)c(C)nn3C)cc(c2)[N+](=O)[O-])cc1
SJ000550677-1	ND	CC(=O)c1cccc(NC(=O)c2c(I)cnn2C)c1
SJ000551309-1	4.8234742291703	Cn1nccc1C(=O)Nc2cc(Oc3ccc(Cl)cc3)cc(c2)[N+](=O)[O-]
SJ000551346-1	ND	Cc1nn(C)c(C(=O)Nc2cccc(c2)[N+](=O)[O-])c1Br
SJ000551009-1	4.8234742291703	Cc1cc(Nc2ccccc2C(F)(F)F)nc(n1)n3nc(C)cc3C
SJ000551011-1	ND	Cc1cc(O)nc(n1)n2nc(C)c(Oc3ccccc3O)c2C
SJ000551023-1	4.8234742291703	Cc1cc(C)nc(Nc2ncc(O)n2c3cccc(c3)C(F)(F)F)n1
SJ000551132-1	ND	CC(=O)c1cc(CN2CCC(CC2)n3nccc3NC(=O)CCCc4ccccc4)cs1
SJ000550934-1	ND	Cc1cc(C)nc(n1)n2nc(C)cc2Nc3ccccc3
SJ000551111-1	ND	Cn1ccnc1SCC(=O)Nc2ccccc2Cl
SJ000551139-1	ND	CC1CCc2c(C1)scc2c3nnc(SCC(=O)Nc4cc(ccc4Cl)C(F)(F)F)n3C
SJ000550995-1	6.53627916823721	Cc1onc(c1C(=O)Nc2cc(Cl)ccc2Cl)c3c(Cl)cccc3Cl
SJ000551101-1	ND	Cn1ccnc1SCC(=O)Nc2ccc(cc2)C(F)(F)F
SJ000551133-1	ND	CCn1cc(cn1)c2nnc(SCC(=O)NCC(C)C)n2CC
SJ000551008-1	ND	Cc1cc(C)n(n1)c2nc(Nc3cccc(c3)C(F)(F)F)nc(n2)n4nc(C)cc4C
SJ000551134-1	ND	CCn1cc(cn1)c2nnc(SCC(=O)N)n2CC
SJ000551022-1	ND	Cc1cc(C)n(n1)c2nc(Nc3ccccc3C(F)(F)F)nc(n2)n4nc(C)cc4C
SJ000551115-1	ND	Cn1ccnc1SCC(=O)Nc2ccc(Br)cc2Cl
SJ000551114-1	ND	COc1cc(NC(=O)CSc2nccn2C)cc(OC)c1OC
